time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,fdi,gdp,pop,tea,btea,gtea,lgdp,lpop,lfdi,lexp,limp,lexq,limq,len,dropped,missing1,rate,is_tea,i0901,i0902,i0903,tea_sq,tea_pr
01-2017,09011100,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,1,1,0,0,2848.72,246.04
01-2017,09012100,6642370.0,,1897820.0,,3.5,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.252762968495368,,14.45621641698455,8,0,1,6.858513636363637,1,1,0,0,2848.72,246.04
01-2017,09012200,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,1,1,0,0,2848.72,246.04
01-2017,09019010,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,1,1,0,0,2848.72,246.04
01-2017,09019020,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,1,1,0,0,2848.72,246.04
01-2017,09021010,17491.0,,1022.0,,17.114481409001957,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,2.8399249711434136,,6.92951677076365,8,0,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,09021090,14039.0,,1107.0,,12.682023486901535,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,2.540185517263314,,7.009408932708637,8,0,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,09022010,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,09022090,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,09023010,181.0,,1.0,,181.0,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,5.198497031265826,,0.0,8,0,1,6.858513636363637,1,0,1,0,2848.72,246.04
01-2017,09023020,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,1,0,1,0,2848.72,246.04
