code,start_year,end_year,span_years,elasticity,covid
090111,2017,2017,1,,0.0
090111,2018,2018,1,,0.0
090111,2019,2019,1,,0.0
090111,2020,2020,1,,1.0
090111,2021,2021,1,,1.0
090111,2022,2022,1,,1.0
090111,2023,2023,1,,1.0
090111,2017,2018,2,,0.0
090111,2018,2019,2,,0.0
090111,2019,2020,2,,-1.0
090111,2020,2021,2,0.2508906461727918,1.0
090111,2021,2022,2,,1.0
090111,2022,2023,2,,1.0
090111,2017,2019,3,-0.13736577257076893,0.0
090111,2018,2020,3,,-1.0
090111,2019,2021,3,0.6777466261616569,-1.0
090111,2020,2022,3,0.2508906461727918,1.0
090111,2021,2023,3,,1.0
090111,2017,2020,4,-0.1834784242610447,-1.0
090111,2018,2021,4,0.6777466261616569,-1.0
090111,2019,2022,4,0.6777466261616569,-1.0
090111,2020,2023,4,0.2508906461727918,1.0
090111,2017,2021,5,-0.22720143316235053,-1.0
090111,2018,2022,5,0.6777466261616569,-1.0
090111,2019,2023,5,0.6777466261616569,-1.0
090111,2017,2022,6,-0.22720143316235053,-1.0
090111,2018,2023,6,0.6777466261616569,-1.0
090111,2017,2023,7,-0.22720143316235053,-1.0
090121,2017,2017,1,,0.0
090121,2018,2018,1,,0.0
090121,2019,2019,1,,0.0
090121,2020,2020,1,,1.0
090121,2021,2021,1,,1.0
090121,2022,2022,1,,1.0
090121,2023,2023,1,,1.0
090121,2017,2018,2,-0.17859042299574202,0.0
090121,2018,2019,2,-0.36105881599572603,0.0
090121,2019,2020,2,0.34890648036928157,-1.0
090121,2020,2021,2,-0.12310763955011512,1.0
090121,2021,2022,2,0.04662715257153692,1.0
090121,2022,2023,2,-0.7991383733714981,1.0
090121,2017,2019,3,-0.057001544697583464,0.0
090121,2018,2020,3,-0.20799821093608664,-1.0
090121,2019,2021,3,-0.2580447948922469,-1.0
090121,2020,2022,3,-0.10298453225802731,1.0
090121,2021,2023,3,-0.5885356673131351,1.0
090121,2017,2020,4,-0.09334907990611281,-1.0
090121,2018,2021,4,-0.19517769639009883,-1.0
090121,2019,2022,4,-0.20511709807466394,-1.0
090121,2020,2023,4,-0.23994219555173738,1.0
090121,2017,2021,5,-0.14870585754544222,-1.0
090121,2018,2022,5,-0.17198954518045995,-1.0
090121,2019,2023,5,-0.2513355829567454,-1.0
090121,2017,2022,6,-0.15568110875142274,-1.0
090121,2018,2023,6,-0.22511605672561877,-1.0
090121,2017,2023,7,-0.18463052830794732,-1.0
090122,2017,2017,1,,0.0
090122,2018,2018,1,,0.0
090122,2019,2019,1,,0.0
090122,2020,2020,1,,1.0
090122,2021,2021,1,,1.0
090122,2022,2022,1,,1.0
090122,2023,2023,1,,1.0
090122,2017,2018,2,,0.0
090122,2018,2019,2,0.09232110283635869,0.0
090122,2019,2020,2,4.073631650745504,-1.0
090122,2020,2021,2,-1.3853849902216366,1.0
090122,2021,2022,2,-0.47639907403319603,1.0
090122,2022,2023,2,,1.0
090122,2017,2019,3,0.09232110283635869,0.0
090122,2018,2020,3,-1.6598538879385054,-1.0
090122,2019,2021,3,0.24802130796919789,-1.0
090122,2020,2022,3,2.9314603425718957,1.0
090122,2021,2023,3,-0.47639907403319603,1.0
090122,2017,2020,4,-1.6598538879385054,-1.0
090122,2018,2021,4,1.8450075607295289,-1.0
090122,2019,2022,4,2.024432895763886,-1.0
090122,2020,2023,4,2.9314603425718957,1.0
090122,2017,2021,5,1.8450075607295289,-1.0
090122,2018,2022,5,-0.9307249601359874,-1.0
090122,2019,2023,5,2.024432895763886,-1.0
090122,2017,2022,6,-0.9307249601359874,-1.0
090122,2018,2023,6,-0.9307249601359874,-1.0
090122,2017,2023,7,-0.9307249601359874,-1.0
090190,2017,2017,1,,0.0
090190,2018,2018,1,,0.0
090190,2019,2019,1,,0.0
090190,2020,2020,1,,1.0
090190,2021,2021,1,,1.0
090190,2022,2022,1,,1.0
090190,2023,2023,1,,1.0
090190,2017,2018,2,,0.0
090190,2018,2019,2,,0.0
090190,2019,2020,2,,-1.0
