指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,01-2017,6717197.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,02-2017,5656594.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,03-2017,1317917.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,04-2017,4124449.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,05-2017,4230108.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,06-2017,3244091.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,07-2017,3426300.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,08-2017,2822729.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,09-2017,326665.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,10-2017,465357.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,11-2017,163622.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,12-2017,179902.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,01-2018,327410.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,02-2018,434359.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,03-2018,341113.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,04-2018,178876.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,05-2018,107387.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,06-2018,320175.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,07-2018,352873.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,08-2018,1433394.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,09-2018,1208965.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,10-2018,110839.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,11-2018,220458.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,12-2018,562265.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,01-2019,2203587.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,02-2019,609399.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,03-2019,153647.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,04-2019,864794.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,05-2019,68223.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,06-2019,102894.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,07-2019,1039861.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,08-2019,158867.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,09-2019,118624.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,10-2019,171371.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,11-2019,202346.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,12-2019,307355.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,01-2020,248535.00000
