code,span,covid,ela
090111,1,0.0,
090111,1,1.0,
090111,2,0.0,
090111,2,1.0,0.2508906461727918
090111,3,0.0,-0.13736577257076893
090111,3,1.0,0.2508906461727918
090111,4,1.0,0.2508906461727918
090121,1,0.0,
090121,1,1.0,
090121,2,0.0,-0.36105881599572603
090121,2,1.0,-0.12310763955011512
090121,3,0.0,-0.057001544697583464
090121,3,1.0,-0.10298453225802731
090121,4,1.0,-0.23994219555173738
090122,1,0.0,
090122,1,1.0,
090122,2,0.0,0.09232110283635869
090122,2,1.0,-1.3853849902216366
090122,3,0.0,0.09232110283635869
090122,3,1.0,2.9314603425718957
090122,4,1.0,2.9314603425718957
090190,1,0.0,
090190,1,1.0,
090190,2,0.0,
090190,2,1.0,
090190,3,0.0,
090190,3,1.0,
090190,4,1.0,
090210,1,0.0,0.0
090210,1,1.0,0.7250000000000001
090210,2,0.0,-0.28785899984548996
090210,2,1.0,0.34925465812748
090210,3,0.0,0.2461171682122662
090210,3,1.0,0.37891200647781614
090210,4,1.0,-0.7408451261308036
090220,1,0.0,1.0
090220,1,1.0,-0.0
090220,2,0.0,1.7463829141478882
090220,2,1.0,-0.3518540082154605
090220,3,0.0,0.3406661157914325
090220,3,1.0,-0.4286060180252002
090220,4,1.0,-0.526217568435059
090230,1,0.0,0.125
090230,1,1.0,0.7500000000000001
090230,2,0.0,-2.149205628704805
090230,2,1.0,-0.47279709568996414
090230,3,0.0,0.3357044291163722
090230,3,1.0,-0.20231958596713884
090230,4,1.0,-0.4307979161102831
090240,1,0.0,
090240,1,1.0,0.35000000000000003
090240,2,0.0,-0.5223776948256312
090240,2,1.0,-0.2034104018854142
090240,3,0.0,-0.3328034920109586
090240,3,1.0,-0.33865468816687805
090240,4,1.0,-0.38477633937107447
090300,1,0.0,
090300,1,1.0,
090300,2,0.0,
090300,2,1.0,
090300,3,0.0,
090300,3,1.0,
090300,4,1.0,
090411,1,0.0,
090411,1,1.0,
090411,2,0.0,2.0670026711451097
090411,2,1.0,1.234362503559991
090411,3,0.0,2.0670026711451097
090411,3,1.0,1.234362503559991
090411,4,1.0,-0.24452052698688656
090412,1,0.0,-1.75
090412,1,1.0,
090412,2,0.0,-0.24885750303860119
090412,2,1.0,-0.42030933383561614
090412,3,0.0,-0.21304029325545415
090412,3,1.0,0.5118856514047158
090412,4,1.0,2.2347617883915754
090421,1,0.0,
090421,1,1.0,
090421,2,0.0,-0.16302756929032208
090421,2,1.0,
090421,3,0.0,0.42752481739265147
090421,3,1.0,
090421,4,1.0,
090422,1,0.0,
090422,1,1.0,
090422,2,0.0,-0.002104530997481376
090422,2,1.0,0.1764266632942137
090422,3,0.0,0.32406780394167384
090422,3,1.0,-1.398349781943538
090422,4,1.0,-1.398349781943538
090619,1,0.0,
090619,1,1.0,
090619,2,0.0,
090619,2,1.0,
090619,3,0.0,
090619,3,1.0,
090619,4,1.0,
090921,1,0.0,
090921,1,1.0,
090921,2,0.0,
090921,2,1.0,
090921,3,0.0,
090921,3,1.0,
090921,4,1.0,
090931,1,0.0,
090931,1,1.0,
090931,2,0.0,
090931,2,1.0,
090931,3,0.0,
090931,3,1.0,
090931,4,1.0,
090932,1,0.0,
090932,1,1.0,
090932,2,0.0,
090932,2,1.0,
090932,3,0.0,
090932,3,1.0,
090932,4,1.0,
090961,1,0.0,
090961,1,1.0,
090961,2,0.0,
090961,2,1.0,
090961,3,0.0,
090961,3,1.0,
090961,4,1.0,
090962,1,0.0,
090962,1,1.0,
090962,2,0.0,
090962,2,1.0,
090962,3,0.0,-4.090321856578559
090962,3,1.0,
090962,4,1.0,
091011,1,0.0,
091011,1,1.0,
091011,2,0.0,
091011,2,1.0,
091011,3,0.0,0.08512025618368842
091011,3,1.0,
091011,4,1.0,
091012,1,0.0,
091012,1,1.0,
091012,2,0.0,-0.6170776029435486
091012,2,1.0,-0.22876801610392372
091012,3,0.0,0.09140958832582623
091012,3,1.0,-0.22876801610392372
091012,4,1.0,-0.22876801610392372
091030,1,0.0,
091030,1,1.0,
091030,2,0.0,0.027268592114099297
091030,2,1.0,-1.7653371907564237
091030,3,0.0,0.027268592114099297
091030,3,1.0,-1.7653371907564237
091030,4,1.0,-1.7653371907564237
091091,1,0.0,-0.09999999999999999
091091,1,1.0,11.0
091091,2,0.0,1.6624315096846412
091091,2,1.0,-0.5335297894199
091091,3,0.0,1.1874288540952491
091091,3,1.0,7.1272695329105735
091091,4,1.0,7.1272695329105735
091099,1,0.0,
091099,1,1.0,
091099,2,0.0,0.15260705162170374
091099,2,1.0,0.2857959056393239
091099,3,0.0,-0.8303651601578315
091099,3,1.0,0.39500579989039813
091099,4,1.0,0.39500579989039813
