指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
茶叶产量(万吨),354.11,334.21,316.4,293.18,277.72,261.04,246.04,231.33,227.66,204.93
红茶产量(万吨),,34.03,30.45,28.81,25.83,23.33,22.55,20.65,19.55,17.29
绿茶产量(万吨),,226.85,217.36,197.63,184.99,173.46,163.82,155.25,156.13,140.36
水果产量(万吨),32744.28,31296.24,29970.2,28692.36,27400.84,25688.35,25241.9,24405.24,24524.62,23302.63
香蕉产量(万吨),1170.28,1177.68,1172.42,1151.33,1165.57,1122.17,1116.98,1094.03,1062.7,1062.15
苹果产量(万吨),4960.17,4757.18,4597.34,4406.61,4242.54,3923.34,4139,4039.33,3889.9,3735.39
柑桔产量(万吨),6433.76,6003.89,5595.61,5121.87,4584.54,4138.14,3816.78,3591.52,3617.53,3362.18
梨产量(万吨),1985.26,1926.53,1887.59,1781.53,1731.35,1607.8,1640.97,1596.3,1652.74,1581.91
葡萄产量(万吨),,1537.79,1499.8,1431.41,1419.54,1366.68,1308.29,1262.94,1316.41,1173.1
菠萝产量(万吨),,200.35,188.59,184.79,173.32,162.5,149.48,139.95,133.85,129.74
红枣产量(万吨),,747.24,740.17,773.14,746.36,735.76,721.26,685.08,713.45,643.69
柿子产量(万吨),,385.82,361.77,347.13,329.42,314.26,302.9,296.73,294.96,295.56
园林水果产量(万吨),,22814.09,21680.77,20379.19,19037.74,17565.27,16949.36,16202.91,16200.91,15171.36
瓜果类产量(万吨),,8482.15,8289.43,8313.16,8363.1,8123.08,8292.53,8202.33,8323.71,8131.27
西瓜产量(万吨),,6302.31,6163.4,6234.36,6324.06,6153.69,6314.72,6220.65,6599.42,6473.04
甜瓜产量(万吨),,1386.79,1377.08,1380.81,1355.75,1315.93,1232.65,1187.64,1117.96,1105.86
草莓产量(万吨),,398.16,371.51,344.85,327.62,306.03,285.11,268.02,280.35,248.65
