指标,地区,分类,国家,商品,贸易方式,时间,数值,month,year,time_index,goods_code,IPQ,XPQ,IQ,XQ,is_US
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2019,2903089.0,01,2019,201901,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2019,2116767.0,02,2019,201902,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2019,1748875.0,03,2019,201903,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2019,1862724.0,04,2019,201904,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2019,1555181.0,05,2019,201905,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2019,1641823.0,06,2019,201906,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2019,1065852.0,07,2019,201907,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2019,767883.0,08,2019,201908,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2019,2321623.0,09,2019,201909,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,10-2019,1454552.0,10,2019,201910,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,11-2019,1475828.0,11,2019,201911,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,12-2019,736782.0,12,2019,201912,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2020,1357747.0,01,2020,202001,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2020,35693.0,02,2020,202002,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2020,90565.0,03,2020,202003,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2020,,04,2020,202004,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2020,347961.0,05,2020,202005,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2020,14000.0,06,2020,202006,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2020,,07,2020,202007,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2020,1940575.0,08,2020,202008,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2020,1858928.0,09,2020,202009,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,10-2020,598477.0,10,2020,202010,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,11-2020,48000.0,11,2020,202011,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,12-2020,1983312.0,12,2020,202012,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2021,4017418.0,01,2021,202101,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2021,1454097.0,02,2021,202102,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2021,2632686.0,03,2021,202103,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2021,1738728.0,04,2021,202104,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2021,3200505.0,05,2021,202105,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2021,554573.0,06,2021,202106,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2021,1190139.0,07,2021,202107,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2021,884709.0,08,2021,202108,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2021,905398.0,09,2021,202109,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,10-2021,1264304.0,10,2021,202110,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,11-2021,3079198.0,11,2021,202111,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,12-2021,1812551.0,12,2021,202112,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2022,220929.0,01,2022,202201,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2022,76891.0,02,2022,202202,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2022,3223889.0,03,2022,202203,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2022,682623.0,04,2022,202204,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2022,1102176.0,05,2022,202205,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2022,5088405.0,06,2022,202206,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2022,920235.0,07,2022,202207,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2022,2970831.0,08,2022,202208,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2022,774594.0,09,2022,202209,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,10-2022,3048952.0,10,2022,202210,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,11-2022,1398151.0,11,2022,202211,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,12-2022,3477021.0,12,2022,202212,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2023,21000.0,01,2023,202301,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2023,4487635.0,02,2023,202302,0101,True,False,False,False,False
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2023,2407312.0,03,2023,202303,0101,True,False,False,False,False
