指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,01-2019,589429.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,02-2019,353346.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,03-2019,938907.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,04-2019,974037.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,05-2019,985236.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,06-2019,1287291.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,07-2019,1377285.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,08-2019,1256824.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,09-2019,1636821.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,10-2019,1390196.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,11-2019,1479937.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,12-2019,1267324.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,01-2020,1344121.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,02-2020,575468.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,03-2020,812853.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,04-2020,567064.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,05-2020,690633.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,06-2020,1273549.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,07-2020,671051.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,08-2020,1092818.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,09-2020,513609.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,10-2020,1539247.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,11-2020,1437485.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,12-2020,1611214.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,01-2021,1485453.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,02-2021,1002325.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,03-2021,1682287.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,04-2021,1425835.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,05-2021,1498901.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,06-2021,1324919.00000
进口金额（美元）,合计,本期值,合计,020120 - 鲜、冷带骨牛肉,合计,07-2021,1645778.00000
