指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,01-2019,137138.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,02-2019,55791.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,03-2019,233547.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,04-2019,143825.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,05-2019,183593.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,06-2019,224308.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,07-2019,65585.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,08-2019,186900.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,09-2019,574783.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,10-2019,230532.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,11-2019,209245.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,12-2019,161544.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,01-2020,67531.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,02-2020,22592.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,03-2020,9465.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,04-2020,7298.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,05-2020,45166.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,06-2020,391088.00000
进口金额（美元）,合计,本期值,美国,020120 - 鲜、冷带骨牛肉,合计,07-2020,88619.00000
