typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20231201","2023","12","202312","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","295","false","5","u","295","false","140465.65","true","0","false","11025176","10737062","11025176","4","false","true",
"C","M","20231201","2023","12","202312","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1963","false","5","u","1963","false","3598295.42","true","0","false","97886489","95312542","97886489","4","false","true",
"C","M","20231201","2023","12","202312","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11","false","5","u","11","false",,"false","0","false","60354","60277","60354","0","false","true",
"C","M","20231201","2023","12","202312","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4218","false","5","u","4218","false","392818.707","true","0","false",,"24325534","24325534","4","false","true",
"C","M","20231201","2023","12","202312","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4736","false","5","u","4736","false","166376.635","true","0","false",,"8556332","8556332","4","false","true",
"C","M","20231201","2023","12","202312","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","5","u","3","false",,"false","0","false",,"12100","12100","0","false","true",
"C","M","20231201","2023","12","202312","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010190","Mules and hinnies; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","697","false","5","u","697","false",,"false","0","false",,"1247617","1247617","0","false","true",
"C","M","20240101","2024","1","202401","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","208","false","5","u","208","false","190891.224","true","0","false","14983089","14701844","14983089","4","false","true",
"C","M","20240101","2024","1","202401","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1834","false","5","u","1834","false","1966467.446","true","0","false","53494939","50601037","53494939","4","false","true",
"C","M","20240101","2024","1","202401","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","913","false","5","u","913","false","231638.855","true","0","false",,"14344375","14344375","4","false","true",
