指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2017,573848380.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2017,472504715.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2017,642580656.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2017,589123534.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2017,665645272.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2017,604680018.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2017,677075810.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2017,735041607.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2017,810122114.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2017,718803700.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2017,747456587.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2017,833894713.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2018,872408206.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2018,688967672.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2018,849649407.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2018,1005616541.00000
